Country,Region,Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita) dollars

Afghanistan,ASIA (EX. NEAR EAST),"48,0","163,07",700 dollars

Albania,EASTERN EUROPE,"124,6","21,52",4500 dollars

Algeria,NORTHERN AFRICA,"13,8",31,6000 dollars

American Samoa,OCEANIA,"290,4","9,27",8000 dollars

Andorra,WESTERN EUROPE,"152,1","4,05",19000 dollars

Angola,SUB-SAHARAN AFRICA,"9,7","191,19",1900 dollars

Anguilla,LATIN AMER. & CARIB,"132,1","21,03",8600 dollars

Antigua & Barbuda,LATIN AMER. & CARIB,"156,0","19,46",11000 dollars

Argentina,LATIN AMER. & CARIB,"14,4","15,18",11200 dollars

Armenia,C.W. OF IND. STATES,"99,9","23,28",3500 dollars

Aruba,LATIN AMER. & CARIB,unknown,"5,89",28000 dollars

Australia,OCEANIA,"2,6","4,69",29000 dollars

Austria,WESTERN EUROPE,"97,7","4,66",30000 dollars

Azerbaijan,C.W. OF IND. STATES,"91,9","81,74",3400 dollars

"Bahamas, The",LATIN AMER. & CARIB,"21,8","25,21",16700 dollars

Bahrain,NEAR EAST,"1050,5","17,27",16900 dollars

Bangladesh,ASIA (EX. NEAR EAST),"1023,4","62,6",1900 dollars

Barbados,LATIN AMER. & CARIB,"649,5","12,5",15700 dollars

Belarus,C.W. OF IND. STATES,"49,6","13,37",6100 dollars

Belgium,WESTERN EUROPE,"340,0","4,68",29100 dollars

Belize,LATIN AMER. & CARIB,"12,5","25,69",4900 dollars

Benin,SUB-SAHARAN AFRICA,"69,8",85,1100 dollars

Bermuda,NORTHERN AMERICA,"1241,0","8,53",36000 dollars

Bhutan,ASIA (EX. NEAR EAST),"48,5","100,44",1300 dollars

Bolivia,LATIN AMER. & CARIB,"8,2","53,11",2400 dollars

Bosnia & Herzegovina,EASTERN EUROPE,"88,0","21,05",6100 dollars

Botswana,SUB-SAHARAN AFRICA,"2,7","54,58",9000 dollars

Brazil,LATIN AMER. & CARIB,"22,1","29,61",7600 dollars

British Virgin Is.,LATIN AMER. & CARIB,"151,0","18,05",16000 dollars

Brunei,ASIA (EX. NEAR EAST),"65,8","12,61",18600 dollars

Bulgaria,EASTERN EUROPE,"66,6","20,55",7600 dollars

Burkina Faso,SUB-SAHARAN AFRICA,"50,7","97,57",1100 dollars

Burma,ASIA (EX. NEAR EAST),"69,8","67,24",1800 dollars

Burundi,SUB-SAHARAN AFRICA,"290,7","69,29",600 dollars

Cambodia,ASIA (EX. NEAR EAST),"76,7","71,48",1900 dollars

Cameroon,SUB-SAHARAN AFRICA,"36,5","68,26",1800 dollars

Canada,NORTHERN AMERICA,"3,3","4,75",29800 dollars

Cape Verde,SUB-SAHARAN AFRICA,"104,4","47,77",1400 dollars

Cayman Islands,LATIN AMER. & CARIB,"173,4","8,19",35000 dollars

Central African Rep.,SUB-SAHARAN AFRICA,"6,9",91,1100 dollars

Chad,SUB-SAHARAN AFRICA,"7,7","93,82",1200 dollars

Chile,LATIN AMER. & CARIB,"21,3","8,8",9900 dollars

China,ASIA (EX. NEAR EAST),"136,9","24,18",5000 dollars

Colombia,LATIN AMER. & CARIB,"38,3","20,97",6300 dollars

Comoros,SUB-SAHARAN AFRICA,"318,4","74,93",700 dollars

"Congo, Dem. Rep.",SUB-SAHARAN AFRICA,"26,7","94,69",700 dollars

"Congo, Repub. of the",SUB-SAHARAN AFRICA,"10,8","93,86",700 dollars

Cook Islands,OCEANIA,"89,1",,5000 dollars

Costa Rica,LATIN AMER. & CARIB,"79,8","9,95",9100 dollars

Cote d'Ivoire,SUB-SAHARAN AFRICA,"54,8","90,83",1400 dollars

Croatia,EASTERN EUROPE,"79,5","6,84",10600 dollars

Cuba,LATIN AMER. & CARIB,"102,7","6,33",2900 dollars

Cyprus,NEAR EAST,unknown,"7,18",19200 dollars

Czech Republic,EASTERN EUROPE,"129,8","3,93",unknown

Denmark,WESTERN EUROPE,"126,5","4,56",31100 dollars

Djibouti,SUB-SAHARAN AFRICA,"21,2","104,13",1300 dollars

Dominica,LATIN AMER. & CARIB,"91,4","14,15",5400 dollars

Dominican Republic,LATIN AMER. & CARIB,"188,5","32,38",6000 dollars

East Timor,ASIA (EX. NEAR EAST),"70,8","47,41",500 dollars

Ecuador,LATIN AMER. & CARIB,"47,8","23,66",3300 dollars

Egypt,NORTHERN AFRICA,"78,8","32,59",4000 dollars

El Salvador,LATIN AMER. & CARIB,"324,3","25,1",4800 dollars

